"","logFC","logCPM","LR","PValue","FDR"
"217732_s_at",-5.98722924720292,8.42656879077975,3223.42251215057,0,0
"213356_x_at",-5.98700367901182,8.62460188230081,5409.48955951993,0,0
"221475_s_at",-5.98276301923582,8.64343470087649,5203.53709929002,0,0
"200689_x_at",-5.96959263065025,8.6083921689933,4482.64597220921,0,0
"215313_x_at",-5.96807040067931,8.50322241482823,4519.69640869683,0,0
"222982_x_at",-5.96090186344612,8.41746347782539,3278.94770752517,0,0
"1555653_at",-5.95686395760491,8.50319133702526,2019.49480417934,0,0
"213428_s_at",-5.95543446509669,8.01189031953901,2209.6952340897,0,0
"201426_s_at",-5.95286883661835,8.67185599726059,6234.91129616297,0,0
"212788_x_at",-5.94877224226602,8.65299376142116,3992.9138659555,0,0
"217807_s_at",-5.94393700917516,8.50033761283185,8032.38864195589,0,0
"200936_at",-5.93725720194582,8.61764219021248,11151.5329211192,0,0
"214317_x_at",-5.93317330120419,8.43505613280219,16553.8967986761,0,0
"200725_x_at",-5.92821761980691,8.60847685186035,3711.69867145236,0,0
"207243_s_at",-5.92318518131509,8.57139761900756,18835.5151905747,0,0
"200036_s_at",-5.918587099727,8.55009991982823,3409.70618385993,0,0
"200633_at",-5.91537048879923,8.64079436133254,20202.0751576561,0,0
"216526_x_at",-5.91361739909434,8.34144109097153,3465.8506362467,0,0
"211940_x_at",-5.90553119084456,8.50543768312449,13191.3699368825,0,0
"201258_at",-5.90487030345667,8.59109895221741,7328.53299485265,0,0
"214167_s_at",-5.90327282099724,8.56766263182479,2521.47508665665,0,0
"200013_at",-5.8986701557112,8.59188528739481,13854.1745796317,0,0
"210968_s_at",-5.89553725608051,8.44711542349724,7437.57670917086,0,0
"214629_x_at",-5.8941194214152,8.47748323954922,5545.91353959893,0,0
"220960_x_at",-5.88886272135429,8.53804118337299,3974.32606748278,0,0
"209863_s_at",-5.88563057213452,7.21773413408282,2508.03569605,0,0
"200937_s_at",-5.88183789716323,8.50783447363504,5281.00420224939,0,0
"200024_at",-5.87750248494428,8.57308410872474,3120.1231888316,0,0
"200748_s_at",-5.87730086117319,8.5787706321841,2204.13768669383,0,0
"221775_x_at",-5.87276175178326,8.53895191989318,4836.7487578715,0,0
"200082_s_at",-5.86792803394729,8.56701215763993,3405.85676967951,0,0
"225239_at",-5.85993248251494,8.09780902167908,3075.1246770921,0,0
"211999_at",-5.85871336954587,8.41005459950089,2634.49945786422,0,0
"201553_s_at",-5.85852877383214,8.43143647129562,16271.5273827417,0,0
"208812_x_at",-5.83561785766621,8.31393276772343,2639.32066459167,0,0
"224650_at",-5.81732188794199,7.06313028083817,1850.91745159676,0,0
"208768_x_at",-5.81634505995566,8.48933832572696,4539.29484512224,0,0
"200823_x_at",-5.81484316578326,8.48408201229086,3966.9775788778,0,0
"212581_x_at",-5.79363260355694,8.59453964430269,19009.7053887664,0,0
"217719_at",-5.78458628168682,8.43883686216074,6868.66937630348,0,0
"201009_s_at",-5.77983860392472,8.0087735395472,1735.15734542208,0,0
"201368_at",-5.77974539098646,8.13636402196464,10647.291425295,0,0
"208949_s_at",-5.77724323379307,8.43968749144342,16199.9635833575,0,0
"AFFX-BioDn-3_at",-5.77468567893746,7.84577102259288,1558.45896849858,0,0
"209118_s_at",-5.77432883087562,8.3218027117574,4347.39360661791,0,0
"211986_at",-5.77194823801026,8.09819450642521,11804.1552765471,0,0
"211509_s_at",-5.74309049196896,8.38447448476045,2875.13561566238,0,0
"213687_s_at",-5.73842586525133,8.46759697167544,16608.677627228,0,0
"200019_s_at",-5.73633002920309,8.38785612323625,9694.34041495881,0,0
"211628_x_at",-5.72317044447592,8.41023971043303,2530.30362355229,0,0
"215157_x_at",-5.72068242960998,8.45493855767321,2517.35686292852,0,0
"214459_x_at",-5.71936639093547,8.23895073481474,2221.5471593915,0,0
"217733_s_at",-5.71279251820788,8.47783661555688,4381.08992247751,0,0
"209291_at",-5.70487478403604,7.82598860994475,5631.57092129276,0,0
"213619_at",-5.69521436051497,8.35737873028133,3670.68343095027,0,0
"200705_s_at",-5.69301551335411,8.37488659799397,11940.3743540548,0,0
"217398_x_at",-5.6825563132538,8.52254479422477,17285.3553062841,0,0
